encode_accession,file_name,path,expected_bytes,actual_bytes,status,sha256,checksum_origin,assay_context,sequence_role,label_role,license,downstream_overlap_status,admitted_as_intervention_data
ENCFF290IUS,ENCFF290IUS.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF290IUS.fastq.gz,6046443627,6046443627,VERIFIED,8c7cc7552b0f621da6960e4b4cc4b1aed5a36ec3019180c1ca981d6025e08433,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF291WFO,ENCFF291WFO.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF291WFO.fastq.gz,7789468980,7789468980,VERIFIED,343ee18110ac999445ba0b8ce535d58783b20da749f67e407bb184e4ca638749,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF309ETT,ENCFF309ETT.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF309ETT.fastq.gz,5028141851,5028141851,VERIFIED,95e568a6af62807596ffb834e1e4c5086a5915e4653ea6e7582c90cf02d4928b,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF320LQD,ENCFF320LQD.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF320LQD.fastq.gz,4316574491,4316574491,VERIFIED,a0568dbd8f5207781ea2a518c63ba7d23c1d6797bb97ce7478ae1ace8564bb3f,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF331SBQ,ENCFF331SBQ.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF331SBQ.fastq.gz,5433506112,5433506112,VERIFIED,2d57746b45b8de3aa6bcec1cde742170a3695d245c620f4747ba52fb1ce6e989,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF350TOW,ENCFF350TOW.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF350TOW.fastq.gz,6470575490,6470575490,VERIFIED,e9e63eed556e7a149d8dbb2def2860a54c67d0cc0c8893ff36d41fb71bb2ca42,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF421MBB,ENCFF421MBB.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF421MBB.fastq.gz,6046213509,6046213509,VERIFIED,20b17249f53451bd2215a4703b726c07aa31938eaf872543f6df94c66c40f9fb,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF423AHI,ENCFF423AHI.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF423AHI.fastq.gz,6695394919,6695394919,VERIFIED,ab00f37d2aa276827307628c629752d4f469af8d4f130477a021bed921390497,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF424PJD,ENCFF424PJD.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF424PJD.fastq.gz,6625334619,6625334619,VERIFIED,38cbafe41755485d2eca4cdef52a93e106a84b1cfec4ed0cb3710722240729ef,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF429XMM,ENCFF429XMM.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF429XMM.fastq.gz,5774148362,5774148362,VERIFIED,2709977469f6b1060e627ccc1589d674881c96245d14dd6917beb90dc0ac8d9f,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
