method_id,candidate_count,candidate_cap_per_source,source_count,hard_legality_rate,edit_budget_violation_count,candidate_budget_violation_count,source_macro_unique_candidate_rate,source_macro_pairwise_hamming_diversity,source_macro_independent_evaluator_max_uplift_over_source,source_macro_candidate_recovery_rate,source_macro_measured_top_k_recovery_at_k,mean_total_forward_equivalents_per_source,critic_budget_class,generation_peak_vram_mb,generation_wall_time_seconds,independent_scoring_wall_time_seconds
genetic,28512,32,891,1.0,0,0,1.0,0.06826010142866316,1.0978248587628674,0.05443322109988777,0.0028058361391694723,231.4668911335578,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,37.6322386264801
generate_then_rerank,28512,32,891,1.0,0,0,1.0,0.0738510613276861,1.0575961389910224,0.06827534605312383,0.004395809951365506,266.6094276094276,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,36.536739110946655
unguided_learned_base_flow_g0,28512,32,891,1.0,0,0,0.8828914141414141,0.0765737532452552,0.9076756850620846,0.20286195286195285,0.09797305278909313,124.45342312008978,NO_CRITIC_CALLS,556.494140625,341.55688762664795,35.70294547080994
random_legal,28512,32,891,1.0,0,0,1.0,0.06529069324346104,0.8895981152584791,0.07697343808454919,0.004769921436588103,64.00448933782268,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,37.89674758911133
local_search,21027,32,891,1.0,0,0,1.0,0.057349442241302506,0.8681430120928386,0.0036475869809203137,0.0022446689113355778,200.97755331088663,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,34.636573791503906
greedy,28512,32,891,1.0,0,0,1.0,0.03289875206635437,0.7978649849258154,0.06584362139917695,0.003647586980920314,266.6094276094276,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,38.14377760887146
beam,28512,32,891,1.0,0,0,1.0,0.04277954928586127,0.753651145139059,0.08024691358024691,0.004395809951365507,266.6094276094276,MATCHED_CRITIC_BUDGET,30.6826171875,NOT_RECORDED,35.27938985824585
