method_id,source_count,candidate_cap_per_source,candidate_count,source_candidate_count_min,source_candidate_count_max,source_candidate_count_mean,unique_candidate_count,duplicate_candidate_count,source_macro_unique_candidate_rate,source_macro_pairwise_hamming_diversity,edit_distance_0_count,edit_distance_1_count,edit_distance_2_count,edit_distance_3_count,edit_distance_4_count,edit_distance_5_count,explicit_stop_count,explicit_stop_rate,budget_exhausted_count,budget_exhausted_rate,no_legal_action_count,numerical_failure_count,hard_legality_rate,edit_budget_violation_count,candidate_budget_violation_count,mean_total_forward_equivalents_per_source,critic_budget_class,candidate_support_mode,closed_measured_ndcg_defined_source_count,source_macro_candidate_recovery_rate,source_macro_measured_top_k_recovery_at_k,source_macro_independent_evaluator_max_uplift_over_source
random_legal,891,32,28512,32,32,32.0,28512,0,1.0,0.06529069324346104,889,13285,5169,5117,2013,2039,15211,0.5334946689113356,13301,0.46650533108866443,0,0,1.0,0,0,64.00448933782268,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.07697343808454919,0.004769921436588103,0.8895981152584791
greedy,891,32,28512,32,32,32.0,28512,0,1.0,0.03289875206635437,0,13996,14516,0,0,0,20096,0.7048260381593715,8416,0.2951739618406285,0,0,1.0,0,0,266.6094276094276,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.06584362139917695,0.003647586980920314,0.7978649849258154
beam,891,32,28512,32,32,32.0,28512,0,1.0,0.04277954928586127,0,16816,11696,0,0,0,20096,0.7048260381593715,8416,0.2951739618406285,0,0,1.0,0,0,266.6094276094276,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.08024691358024691,0.004395809951365507,0.753651145139059
genetic,891,32,28512,32,32,32.0,28512,0,1.0,0.06826010142866316,117,8303,2287,7496,4712,5597,7172,0.2515432098765432,21340,0.7484567901234568,0,0,1.0,0,0,231.4668911335578,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.05443322109988777,0.0028058361391694723,1.0978248587628674
local_search,891,32,21027,3,32,23.5993265993266,21027,0,1.0,0.057349442241302506,128,1176,3872,7527,3908,4416,9832,0.46758928996052695,11195,0.532410710039473,0,0,1.0,0,0,200.97755331088663,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.0036475869809203137,0.0022446689113355778,0.8681430120928386
generate_then_rerank,891,32,28512,32,32,32.0,28512,0,1.0,0.0738510613276861,0,10971,5356,6757,2608,2820,12760,0.44753086419753085,15752,0.5524691358024691,0,0,1.0,0,0,266.6094276094276,MATCHED_CRITIC_BUDGET,OPEN_GENERATED_SUPPORT,0,0.06827534605312383,0.004395809951365506,1.0575961389910224
unguided_learned_base_flow_g0,891,32,28512,32,32,32.0,25173,3339,0.8828914141414141,0.0765737532452552,647,8913,1055,9123,740,8034,3699,0.12973484848484848,24813,0.8702651515151515,0,0,1.0,0,0,124.45342312008978,NO_CRITIC_CALLS,OPEN_GENERATED_SUPPORT,0,0.20286195286195285,0.09797305278909313,0.9076756850620846
